Document_Num,Dominant_Topic,Topic_%_Contrib,Topic_Keywords,Text,Is_Outlier,Dom_Topics_Num,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_0_Perc,Topic_1_Perc,Topic_2_Perc,Topic_3_Perc,Topic_4_Perc,Topic_5_Perc
123,3,0.54,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",non compliant products enter wilmar supply chain supplier pundi lahan khatulistiwa,False,1,0,0,0,1,0,0,0.05,0.08,0.06,0.54,0.09,0.19
124,3,0.93,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",grievance raised inti kabun sawit fangiono family deforestation peatland development mighty earth hershey contacted supplier indicated inti kabun sawit supply chain connected first resources via suppliers hershey supplier continue monitor complaints process regarding first resources fap agri cilinadry anki abadi,False,1,0,0,0,1,0,0,0.0,0.02,0.01,0.93,0.01,0.03
125,3,0.37,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",mighty earth rapid response 18 12 ha peat developed mjsp concession march 27 july 28 mjsp gar supplier gar sources klk level,False,2,0,0,0,1,1,0,0.03,0.13,0.06,0.37,0.34,0.07
126,4,0.96,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",mighty earth rapid response 44 indications 113 ha deforestation kalimantan hamparan sawit dec 31 2023 apr 22 2024,False,1,0,0,0,0,1,0,0.0,0.02,0.01,0.01,0.96,0.01
127,2,0.32,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",various reports hcv clearances violations ioi subsidiaries ketapang indonesia greenpeace final countdown 9 18,False,2,0,1,1,0,0,0,0.07,0.21,0.32,0.15,0.04,0.21
128,2,0.5,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",allegation pertaining plasma allocation ratio 80 20 based plasma agreement affected parties received 20 share revenue generated plasma land since 2010 till date,False,2,0,0,1,0,0,1,0.1,0.12,0.5,0.08,0.03,0.18
129,0,0.56,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",milieudefensie sdi legal case lodgedby several members butaw seeking challenge dismissal gvl employeddelaying tacticsto deny thecommunity members right heard well right fair fast trial actions gvl caused disproportionate costs tothe plaintiffs complainants looking gar major investor gvl intervenein timely manner promote protect ensure rights indigenous customary communities gvl workers,False,1,1,0,0,0,0,0,0.56,0.05,0.17,0.04,0.02,0.16
130,5,0.88,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance filed bima golden powerindo july rainforest action network alleging deforestation laot bangko cargill source directly concession impacted indirectly apical sourcing mjsl part unsatisfactory engagement mjsl bima golden powerindo apical decided cease sourcing september,False,1,0,0,0,0,0,1,0.03,0.02,0.02,0.04,0.01,0.88
131,1,0.73,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",named practising open burning resulting haze peninsular malaysia singapore reached hazardous levels countries acted breach principle 5 environmental responsibility conservation natural resources biodiversity potentially breach principle 7 responsible new planting criterion 5 1 aspects plantation mill management including replanting environmental impacts identified plans mitigate negative impacts promote positive ones made implemented monitored demonstrate continual improvement criterion 5 5 use fire waste disposal preparing land replanting avoided except specific situations identified asean guidelines regional best practice criterion 7 7 use fire preparation new plantings specific situations identified asean guidelines regional best practice complaint filed executive board view fact members named media source fires hotspots analysis conducted two external experts show hotspots analysis jatim jaya perkasa available august 2013 verification submitted based total concession area 11 801 ha 8 200 within hgu 3 601 ha within plasma area actual burning found 22 74 hotspot locations actions taken include 1 intensify fire patrolling hourly hotspot monitoring must submitted central monitoring post 2 revise sops emergency fire procedure land forest fire prevention patrol land forest land preparation water management 3 improve water management according bmps existing cultivation peat4 organize firefighting fire prevention campaign local 5 engage local fire patrolling dry season6 establish database high risk hotspots area draft action plan submitted october 2013 jatim jaya perkasa completed following corrective actions 1 one firefighting team formed 35 members 18 units water pump robin 6 units high pressure water pump tohatsu 4 units motorcycle 1 unit wheel drive vehicle 2 recent hotspot monitoring jatim jaya perkasa downloaded eye haze one hotspot identified march 7 none found field verification 3 jjp implemented water management fire preventionsystem,False,1,0,1,0,0,0,0,0.02,0.73,0.09,0.04,0.08,0.03
132,5,0.82,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",mighty earth filed grievance tsani hutani abadi november 2018 suspended cargill direct suppliers point engagement cargill adopted buy position case status currently suspended,False,1,0,0,0,0,0,1,0.05,0.02,0.04,0.06,0.01,0.82
133,3,0.52,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",genting plantations faced allegations deforestation peatland development killing orangutan illegal plantation development greenpeace final countdown chain reaction research identified genting stranded land assets risk violating ndpe policies hershey notified suppliers potential connections determine position grievance confirm sourcing relationships hershey emphasized importance genting declaring total land bank development plans,False,1,0,0,0,1,0,0,0.03,0.08,0.07,0.52,0.03,0.27
134,2,0.54,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",rights violations land conflict sandabi indah lestari sil,False,1,0,0,1,0,0,0,0.23,0.07,0.54,0.04,0.02,0.1
135,4,0.84,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",mighty earth rapid response 39 thatbetween april 2021 march 2022 total approx 340 hectares forest indicative hcs cleared sawit sukses sejati concession anda total 390 hectares forest indicative hcs cleared usaha sawit unggul concession said beaffiliated teguhkarsa wanalestari,False,1,0,0,0,0,1,0,0.01,0.06,0.02,0.05,0.84,0.02
136,2,0.55,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",allegation commenced planting activities proper consent local asam besar west kalimantan,False,1,0,0,1,0,0,0,0.04,0.29,0.55,0.04,0.03,0.04
137,5,0.71,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance involves samudera sawit nabati ssn sourcing deforested areas raised rainforest action network october musim mas gar conducted field verification found documented evidence ssn sourcing cv buana indah though risk remains ssn implementing time bound ndpe action plan includes traceability plantation prevent sourcing protected areas,False,1,0,0,0,0,0,1,0.03,0.05,0.06,0.14,0.02,0.71
138,2,0.47,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",land conflict ioi certification process new certifications suspended 1 4 11 parties agreed mediation mediator engaged dispute settlement facility mediation process stage 1 began september 2011 going note stage 1 conflict assessment agreement participate mediation stage would map dispute identifying parties participate mediation establish primary agenda issues require resolution would seek commitment key parties enter mediation establish agreement mediation team updates case found dsf,False,2,0,0,1,0,0,1,0.18,0.09,0.47,0.06,0.02,0.18
139,1,0.77,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",may june 2021 eyes forest eof published titled omnibus law automatic legalization illegal plantations eof investigation riau illegal plantations trade illegal fruit eof listed findings eof investigations involving 43 plantation management units located forest estates based ministerial decree number 903 menlhk setjen pla 2 12 2016 07 december 2016 forest estate riau province identified nine gar supplier namely tri bakti sarimas bukit payung mill gandaerah hendana inecda plantation peputra supra jaya ptpn v sekar bumi alam lestari surya agrolika reksa tasma puja indragiri hulu mill kampar mill tunggal perkasa plantation since publication conducted investigations engaged grievance handling case supplier lodged gar grievance tracker updated regularly order stakeholders follow progress,False,1,0,1,0,0,0,0,0.02,0.77,0.08,0.06,0.04,0.03
140,0,0.94,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",labour rights violation malaysian grower felda global ventures fgv plantations,False,1,1,0,0,0,0,0,0.94,0.01,0.03,0.01,0.0,0.02
141,0,0.95,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",transferred different department purportedly punishment providing information auditors respondents audit made work extra hours wages commensurate work load,False,1,1,0,0,0,0,0,0.95,0.01,0.02,0.01,0.0,0.02
142,0,0.85,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",grievance raised ioi corporation bhd regarding labor rights violations multiple estates allegations include worker exploitation forced labor illegal recruitment fees underpayment workers mekassar gomali segamat estates hershey engaged direct suppliers investigate allegations monitoring ioi grievance log processes ioi remediation efforts including reimbursement affected workers u customs border protection initiated probe ioi forced labor allegations,False,1,1,0,0,0,0,0,0.85,0.02,0.05,0.02,0.01,0.06
143,4,0.89,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",gar found indication deforestation internal monitoring process flora nusa perdana part sumber tani agug sta central kalimantan,False,1,0,0,0,0,1,0,0.01,0.04,0.01,0.04,0.89,0.01
144,1,0.75,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",ptnubikajaya mill polluted river aek baba cannot use river bathing washing may 2012 fish breeder found thousands fish died dike located hamlet karang sari village sisumut along aek baba flood contaminated waste occurred village 2012,False,1,0,1,0,0,0,0,0.02,0.75,0.11,0.04,0.05,0.03
145,1,0.49,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",failed carry hcv assessment prior land clearing planting compliance rspos new planting procedure npp non compliance rspos new planting procedure npp violation ofp c 7 3 new plantings since november 2005 replaced primary forest area required maintain enhance one high conservation values violation p c 5 2 status rare threatened endangered species high conservation value habitats exist plantation could affected plantation mill management shall identified operations managed best ensure maintained enhanced remarks successfully got parties complaint engaged dialogue parties agreed solution 8 december 2011,False,2,0,1,1,0,0,0,0.03,0.49,0.36,0.04,0.03,0.04
146,5,0.59,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance astra agro lestari involves concerns deforestation near martabe mine potential threats tapanuli orangutans multiple including bunge fuji aak cargill engaged regarding issue bunge stopping direct sourcing aal since december hershey requested jardines implement moratorium land conversion sign mou iucn aarc task force protect tapanuli orangutan though mou eventually signed renewed december 2022,False,1,0,0,0,0,0,1,0.06,0.07,0.13,0.12,0.02,0.59
147,0,0.41,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",grievance filed sipef october 5 regarding labor rights violations indonesia allegations originally raised 2017 11 11 11 sawit watch later highlighted transnational labour solidarity tpols article sipef engaged parties involved plans hire third party investigate allegations provide recommendations,False,2,1,0,0,0,0,1,0.41,0.06,0.22,0.06,0.02,0.23
148,0,0.57,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",public case released september 2018,False,1,1,0,0,0,0,0,0.57,0.05,0.14,0.05,0.02,0.18
149,2,0.48,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",grievance concerns sil sip sebakis inti lestari sebuku inti plantation indonesia featured mighty earth verified starling case involves land development within hgu area reportedly guided land clearing development plan issued food agriculture resilience agency verification land status pre clearance via satellite monitoring currently underway,False,2,1,0,1,0,0,0,0.18,0.09,0.48,0.06,0.02,0.17
150,0,0.92,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",grievance submitted us customs border protection alleging forced labor ioi corp bhd malaysia letter submitted andy hall specifically irregular recruitment fees bangladeshi workers ioi conducted internal audit claimed found indication forced labor case remains monitoring,False,1,1,0,0,0,0,0,0.92,0.01,0.03,0.01,0.0,0.03
151,5,0.86,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",cargill suspended jernih kemboja sdn bhd supply chain effective march 31 2022 following evidence deforestation malaysia obtained via satellite imagery grievance raised mighty earth march 2022 citing environmental non compliance cargill remains open engagement supplier meets standards,False,1,0,0,0,0,0,1,0.03,0.02,0.03,0.05,0.01,0.86
152,5,0.63,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance involves land conflicts naturaceites christian initiative romero foodwatch european council constitutional human rights january 2024 cargill supporting naturaceites collaborating earthworm foundation enhance grievance mechanism implement action plan address conflicts land issues environmental impacts plan includes three phases focusing understanding situation establishing communication channels implementing actions mitigate future conflicts,False,1,0,0,0,0,0,1,0.15,0.04,0.09,0.06,0.02,0.63
153,4,1.0,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",deforestation land clearing including high conservation value forest within respondents concession construction development road cutting across one major wildlife corridors connecting two river systems berenga tempadung rivers anddevelopment jetty includes reclamation sea floor long 590 meters,False,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0
154,4,0.98,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",mighty earth rapid response 17 indications deforestation total area 4 ha concession prima sawit andalan sintang west kalimantan,False,1,0,0,0,0,1,0,0.0,0.01,0.0,0.01,0.98,0.0
155,3,0.89,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",sawit sukses sejati faced allegations deforestation peatland development mighty earth multiple suppliers including sumber tani agung ceased sourcing sss becoming aware mighty earth hershey reached direct suppliers understand engagement additional investigation ownership connections continued,False,1,0,0,0,1,0,0,0.01,0.03,0.02,0.89,0.02,0.03
156,0,0.58,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",grievance filed february 2023 based cash investigations alleging child labor practices erasakti wiraforestama plantations jambi national labour agency conducted inspection november 2022 verified prohibits employing anyone 18 years old provides proper safety equipment appropriate recruitment procedures case closed july 2023 following review jambi national labour agency,False,1,1,0,0,0,0,0,0.58,0.04,0.13,0.04,0.02,0.18
157,0,0.44,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",affecting compliance act corporate due diligence obligations prevention human rights violations supply chains lksg abused human rights indigenous population carrying unlawful seizure land restricting access water complied labour law unjustifiably withholding appropriate wages occupational health safety regulations respected improper disposal waste made affecting environment area lives,False,2,1,0,1,0,0,0,0.44,0.06,0.35,0.04,0.02,0.08
158,0,0.94,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",sawit mas sejahtera sms accused complying labour laws regulations,False,1,1,0,0,0,0,0,0.94,0.01,0.02,0.01,0.0,0.02
159,0,0.41,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",land rights labour rights violations environmental pollution putra lirik domas subsidiary kpn corporation,False,2,1,0,1,0,0,0,0.41,0.07,0.38,0.04,0.02,0.08
160,4,0.85,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",mighty earth rapid response indication total 117 ha forest prepared clearance preparation stacking lines inside bssu concession june 12 aug 4,False,1,0,0,0,0,1,0,0.01,0.05,0.02,0.04,0.85,0.02
161,3,0.55,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",allegations 1 coles labelling packs product contains either certified sustainable sustainable approved audits 2 coles ceases respond investigation requests official audit certificates 3 coles use close 1 000 contract manufacturers using would impossible certifications claims correct around 100 certified manufacturers australia undergone official audits majority manufacturers contracted coles 4 misleading corporate claims website,False,1,0,0,0,1,0,0,0.04,0.06,0.05,0.55,0.04,0.26
162,4,0.79,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",april 2021 ran since april 2016 standing forests remaining areas referring tegas nusantara management reduced 7 438 acres 6 933 acres ndash ndash meaning almost 500 acres forests destroyed watch early ranapproximately 25 acres forest cleared inside tegas nusantara concession recently illegal logging persisted small areas destroyed months satellite images show destruction continued 2021 10 acres cleared january february 15 acres lost following month ran stated bunin continues advocate rights protect manage forests get part lands back cleared establish plantation,False,1,0,0,0,0,1,0,0.01,0.1,0.03,0.04,0.79,0.02
163,2,0.35,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",linkar borneo local ngo west kalimantan allegations ndpe violations hpi 1 gkm indications hotspots burnt area jul sep inside gkm concession2 gsk indications 37 91 ha deforestation inside gsk concession 2018 20193 krs indications exploitations plasma workers farmers4 pas indications exploitations plasma workers farmers land conflict,False,2,0,1,1,0,0,0,0.06,0.25,0.35,0.13,0.04,0.17
164,2,0.78,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",conducted land clearing outside boundaries hak guna usaha hgu land affected individuals land purpose development plantation filed police affected individuals led obtaining status suspects police force result individuals protesting respondents land clearing activities,False,1,0,0,1,0,0,0,0.04,0.11,0.78,0.02,0.02,0.03
165,4,0.83,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",2017 ran massive deforestation plantation agra bumi niaga abn despite moratorium aceh governor june 2016 clearing forests inside leuser ecosystem field investigations carried ran investigators found time forest clearance fruit transported abn plantation nearby crude mill owned koperasi prima jasa kpj according ran satellite images april 22nd 2017 show abn continued destroy critically important lowland forests sell crude processing mill owned ensem sawita kpj gar supply chain however es gar supplier,False,1,0,0,0,0,1,0,0.01,0.09,0.02,0.04,0.83,0.02
166,3,0.93,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",grievance raised prasetya mitra muda nss deforestation peatland development allegation mighty earth rapid response 45 hershey connected nusantara sawit persada bunge according h2 2023 mill list,False,1,0,0,0,1,0,0,0.0,0.02,0.01,0.93,0.01,0.02
167,4,0.89,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",rapid respose 33 migthy earth january 2016 december 2018 60 hectares tree cover loss within martabe mine area agincourt resources tbk january december 41 hectares tree cover loss within martabe mine area agincourt resources tbk ar managed united tractor astra international,False,1,0,0,0,0,1,0,0.01,0.04,0.02,0.03,0.89,0.01
168,1,0.82,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",member violated principles criteria clearing hcv forest endangering lives orang utans found formal complaint filed allegations result directive seeking clarification response letter submitted attached reviewing specific complaints received contents companys response letter determine next cause action member released following statement update 26 aug 2013bga responded decision complaints panel 30 july 2013 complaints panel deliberate response early sept 2013 update 22 november 2013a meeting conducted 8 november 2013 summary meeting listed bumitama decided transfer membership parent bumitama agri ltd b clearance activities ceased since oct 2013 c bumitama comply new planting procedures future clearance bumitama conduct independent verification encroachment deforestation allegation e lsm implement actions instructed complaints panel stated joint statement 24 sept 2013 update 15 january 2014action 3 refer joint statement dated 24 september 2013 two meetings conducted 17 december 2013 lsm bumitama complainants yiari bksda 22 december 2013 lsm bumitama yiari follow orangutan monitoringand riparian conservation project two main actions meetings listed lsm conduct vegetation enrichment riparian area 484 ha collaboration yiari bksda skw dishut ketapang b special task force formed consisting bksda skw 1 dishut ketapang yiari representatives lsm implementconservation project monitor relocation orang utan action 4 refer joint statement dated 24 september 2013 three npp notifications submitted bumitama published npp website sop npp submitted 9 december 2013,False,1,0,1,0,0,0,0,0.01,0.82,0.09,0.02,0.03,0.02
169,1,0.49,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",herakles farms sgsocis developing 70 000 hectare plantation mill cameroon earmarked area plantation claimed located biodiversity hotspot covered species rich canopy forest area surrounded nationally protected forest complainants alleging clearing areas disrupt ecological landscape migration routes protected species subspecies result loss water resources subsistence farming lands local communities complainants hcv assessment done incomplete flawed,False,2,0,1,1,0,0,0,0.04,0.49,0.36,0.04,0.04,0.04
170,3,0.91,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",greenpeace sungai budi public ndpe policy underreporting landbank involved deforestation peatland development hershey placed buy order tunas baru lampung sungai budi september several direct suppliers confirmed suspension despite buy order hershey continued connected supplier bunge cargill fuji though cargill bunge later confirmed suspension remains place,False,1,0,0,0,1,0,0,0.01,0.02,0.01,0.91,0.01,0.04
171,4,0.93,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",mighty earth rapid response indication deforestation inside shp concession total 35 ha may 27 aug 24,False,1,0,0,0,0,1,0,0.0,0.03,0.01,0.02,0.93,0.01
172,1,0.68,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",concerned clearing lands destroying natural forests reference standards aerial imagery official government reports shows 5200 hectares mostly primary forest felled since january 20132 fire used burn cleared timber vegetation valuable timber resources sold testimony reveals acquired rights respective area process engagement fpic furthermore clearing extensive areas forest engagement local communities laying waste large areas forest communities use hunting fishing gathering source medicinal plants materials construction killing local wildlife destroying vital habitats area question historically occupied residents fore parents includes locations numerous former settlements farms since left become fallow operations extracted large volumes important construction material river aguaytia outside lands claimed plantaciones de pucallpa process used degraded private tracks made exhausted resources depends constructions operations resulted destruction least one house owned member blocking despoiled creeks rivers relies fishing bathing drinking waters moreover personnel restrict access members area hunting fishing gathering subsistence activities testimony highlights waste materials dumped water system main streams affected lands longer fit drinking fishing include rivers sanuya sheringal churral amongst others official investigations conducted ministry agriculturehave determined plantaciones de pucallpa failed secure relevant permits required forest clearance conduct relevant social environmental impact assessments ministry consequently ordered suspension operations addition understands hired large numbers people specifically occupy area field investigations local authorities attempt deliberately frustrate visits resulted extremely tense conflictenvironment government representatives even threatened representatives extent social environmental devastation caused operations irregularities permitting meant developments become major national controversy seen despite suspension order affirms promoting incursion invasion third parties forested areas areas adjacent area cleared plantaciones de pucallpa objective subsequently acquiring areas resulted national indigenous peoples organisation aidesep call suspension operations peru contradictions loopholes legal framework resolvedand congressional commission amazon ecology establish high level national taskforce address issue large scale agribusiness social conflict although made aware question part wider network peru known locally los malaios malays apparently owned proprietors recently established plantaciones de pucallpa operating lands possible identify full ownership structure exact nature links malaysian many registered offshore tax havens require limited disclosure information nevertheless result companys declarations rspoas well ngo investigationsit appears connected asian plantations 2014 bought felda global ventures founder member reviewed standards plantaciones de pucallpa observing member note following serious violations new planting procedure conducted operations filing prior notifications large swathes primary forest cleared prior hcv seia assessments conducted principle 1 information companys plans operations never shared principle 2 acquired lands customarily owned used santa clara de uchunya free prior informed consent principle 3 provided mechanisms resolve problems caused failed comply national laws prohibiting conversion primary forest agricultural purposes conversion forest corresponding soil studies environmental permits relevant environmental social impact assessments violated property rights indigenous peoples customary lands right natural resources guarantee subsistence right processes prior consultation consent right determine development paths addition many fundamental rights indigenous peoples obligatory peru 9 principle 4 operations destroyed diverted water courses well blocked access vital water supplies fishing drinking principle 5 eia hcv assessments carried ensure protection environment wildlife social values natural ecosystems mitigate damage lands cleared use fire principle 6 participatory sias carried proper consultation santa clara de uchunya dispute resolution mechanisms absent customary rights ignored principle 7 new plantings established esias hcv assessments recognising customary rights communities indigenous peoples free prior informed consent note obvious violations detailed perusal principles criteria shows multiple violations many criteria indicators associated principles noted violations applicable laws detailed ministry agriculture official referred footnote 2 3 obligations flow ilo convention 169 jurisprudence inter american court human rights provisions constitute binding obligations peru,False,1,0,1,0,0,0,0,0.03,0.68,0.15,0.04,0.06,0.04
173,2,0.82,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",complaint desa lidung kresna duta agroindo kda tiga serumpun cooperative local development,False,1,0,0,1,0,0,0,0.02,0.09,0.82,0.02,0.01,0.03
174,2,0.53,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",yet fulfill commitment allocate plasma land,False,1,0,0,1,0,0,0,0.09,0.12,0.53,0.07,0.03,0.17
175,2,0.38,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",illegally controlling kkpa primary member cooperative credit objects well violating kkpa agreement embezzling funds fraud development plantations violating agreement related sale farmers fruits disbursed distributed members illegal bailout funds,False,2,0,1,1,0,0,0,0.06,0.24,0.38,0.12,0.04,0.16
176,5,0.76,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance filed east new britain resources papua new guinea july 2021 environmental social non compliance complaint raised global witness regarding allegations papua new guinea cargill suspended east new britain resources march 31 2022 following investigation suspension direct supplier mewah,False,1,0,0,0,0,0,1,0.08,0.03,0.06,0.05,0.01,0.76
177,2,0.73,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",summary dispute involves overlapping claims land affected local communities living desa biru maju central kalimantan case filed sawit watch walhi social ngo provides advice affected villagers,False,1,0,0,1,0,0,0,0.09,0.06,0.73,0.03,0.01,0.07
178,2,0.94,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",synopsis family member employee injured commotion plantation ensuing medical condition injury rendered unable work complaint made enable enlist help securing insuring benefits injuries remarks acknowledged complaint engaged bilateral negotiations amicable solution reached assisted securing necessary insurance benefits,False,1,0,0,1,0,0,0,0.02,0.02,0.94,0.01,0.0,0.01
179,1,0.35,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",complaint filed fpp golden agri resources gar regarding concerns legality operations bribery court case 2018 central kalimantan gar refuted allegations submitted appeal letter complaints panel cargill aware situation monitoring case gar direct supplier,False,2,0,1,1,0,0,0,0.05,0.35,0.3,0.13,0.05,0.13
180,3,0.91,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",permata hijau ran sourcing suppliers clear forests peatland leuser ecosystem hershey issued buy orders permata hijau kallista alam sps ii 2018 despite actions hershey remained linked permata hijau cargill completed action plans supplier continuing monitor progress,False,1,0,0,0,1,0,0,0.01,0.02,0.01,0.91,0.01,0.05
181,4,0.83,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",may 2022 ran satellite evidence shows cemerlang abadi resumed clearance forests peatland areas since september last year 2021 deforestation persisted least february 2022 24 acres secondary forests cleared make way plantation according significant area land cleared appears secondary young regenerating forests regrowth forests 24 acres secondary forests cleared well 740 acres young regenerating forests aug 2022 ran published another ca social issues conflict,False,1,0,0,0,0,1,0,0.01,0.08,0.03,0.04,0.83,0.02
182,4,0.68,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",mighty earth rapid response 1 4 carried deforestation bintuni agro prima perkasa guntur madu agrotama kahayan agro plantation mustika agung sentosa raw materials least one entering gar supply chain greenpeace final countdown 9 18,False,1,0,0,0,0,1,0,0.01,0.16,0.04,0.07,0.68,0.03
183,1,0.94,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",centre orangutan protection cop recent clearing high conservation value areas taken place gunta samba jaya involving orang utan habitats written member awaiting formal reply member update indofood agri met complainants mar 2013 agreed stop land clearing ii file reports ministry forestry set evaluation team iii team make evaluation concession area identify hcv develop conservation action plan iv team submit follow result based information salim ivomas pratama gunta samba subsidiary gunta samba jaya,False,1,0,1,0,0,0,0,0.0,0.94,0.02,0.01,0.02,0.01
184,5,0.59,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance raised lkpp corporation sdn bhd deforestation august cargill held joint meeting lkpp discuss land clearing promote ndpe deforestation peat exploitation policies lkpp agreed implement wide policy january 2021 stated land clearing take place discussions continue regarding recovery plan,False,1,0,0,0,0,0,1,0.03,0.04,0.05,0.26,0.02,0.59
185,2,0.96,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",1 land claim 1 member nanga suhaid mr saudi 2 land compensation claim 1 member nanga suhaid h kutai 3 water pollution kapuas river affecting fish farmers business production 4 conflict residents village head tanjung regarding water quality 5 conflict residents village head emperiang regarding land acquisition process,False,1,0,0,1,0,0,0,0.01,0.01,0.96,0.0,0.0,0.01
186,5,0.39,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",gecko project raised allegations plasma violations agrolestari sentosa supplier linked hershey hershey contacted direct suppliers regarding allegations received feedback gar plasma scheme gecko project published additional reports plasma violations methodology prompting hershey reach suppliers connected entities reports,False,2,0,0,1,0,0,1,0.12,0.1,0.27,0.1,0.03,0.39
187,1,0.6,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",corporate social responsibility csr program concrete sustainable surrounding conducted replanting cutting trees plantation resulting emergence insect pests damaging coconut plantation provided pesticides twice take responsibility coconut plantation damage andthe pesticide proposal village head urgently responded caused surrounding suffer great losses,False,1,0,1,0,0,0,0,0.03,0.6,0.23,0.06,0.03,0.05
188,5,0.87,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",mighty earth filed grievance bukit asam environmental non compliance grievance received august 2021 currently investigation cargill contacted direct supplier engaging bumi sawindo permai investigate allegations,False,1,0,0,0,0,0,1,0.03,0.02,0.03,0.04,0.01,0.87
189,1,0.66,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",website incident resulted burning excavator,False,1,0,1,0,0,0,0,0.02,0.66,0.09,0.06,0.14,0.04
190,3,0.37,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",mighty earth rapid response 17 indications peat forest development mkk concession jan 5 june 29 involving total area 25 ha,False,2,0,0,0,1,1,0,0.03,0.13,0.06,0.37,0.34,0.08
